gs_name,gene_symbol
Basophils.Immune system,Osbpl5
Basophils.Immune system,Otub2
Basophils.Immune system,P2ry1
Basophils.Immune system,Pdk3
Basophils.Immune system,Pdzd4
Basophils.Immune system,Perp
Basophils.Immune system,Plekhg5
Basophils.Immune system,Plg
Basophils.Immune system,Rnf39
Basophils.Immune system,Slc26a3
Basophils.Immune system,Slc26a8
Basophils.Immune system,Sncaip
Basophils.Immune system,St6galnac5
Basophils.Immune system,Tulp3
Basophils.Immune system,Tec
Basophils.Immune system,Unc93a
Basophils.Immune system,Wrn
Basophils.Immune system,Id1
Bergmann glia.Brain,Gfap
Bergmann glia.Brain,Gdf10
Bergmann glia.Brain,Gjb6
Bergmann glia.Brain,Gria4
Bergmann glia.Brain,Grm3
Bergmann glia.Brain,Ntsr2
Bergmann glia.Brain,Itih3
Bergmann glia.Brain,A2m
Bergmann glia.Brain,Ptch1
Bergmann glia.Brain,Cdc42ep4
Bergmann glia.Brain,Btbd17
Bergmann glia.Brain,Aqp4
Bergmann glia.Brain,Slc4a4
Bergmann glia.Brain,Hopx
Bergmann glia.Brain,Gpr37l1
Bergmann glia.Brain,Acsbg1
Bergmann glia.Brain,Aldh1l1
Bergmann glia.Brain,Slc1a3
Bergmann glia.Brain,Slc1a2
Bergmann glia.Brain,S100b
Bergmann glia.Brain,Vim
Bergmann glia.Brain,Fabp7
Bergmann glia.Brain,Ttc21b
Bergmann glia.Brain,Hepacam
Bergmann glia.Brain,Zeb2
Bergmann glia.Brain,Ufl1
Bergmann glia.Brain,Nrxn3
Bergmann glia.Brain,Atp7a
Bergmann glia.Brain,Bicd2
Bergmann glia.Brain,Gja1
Bergmann glia.Brain,Metrn
Bergmann glia.Brain,P2rx7
Bergmann glia.Brain,Egfr
Bergmann glia.Brain,Gria1
Bergmann glia.Brain,P2ry1
Bergmann glia.Brain,Grin2b
Bergmann glia.Brain,Grin3a
Bergmann glia.Brain,Sept4
Bergmann glia.Brain,Dao
Bergmann glia.Brain,Itgb1
Bergmann glia.Brain,Kif1bp
Beta cells.Pancreas,Gcgr
Beta cells.Pancreas,Jph3
Beta cells.Pancreas,Cd40
Beta cells.Pancreas,Hamp
Beta cells.Pancreas,Ezh1
Beta cells.Pancreas,Ntrk1
Beta cells.Pancreas,Pdx1
Beta cells.Pancreas,Slc2a2
Beta cells.Pancreas,Nkx6-2
Beta cells.Pancreas,Ins1
Beta cells.Pancreas,Ins2
Beta cells.Pancreas,Fxyd2
Beta cells.Pancreas,Npy
Beta cells.Pancreas,Rims1
Beta cells.Pancreas,Mafa
Beta cells.Pancreas,Efna5
Beta cells.Pancreas,Lmx1a
Beta cells.Pancreas,Nkx2-2
Beta cells.Pancreas,Nkx6-1
Beta cells.Pancreas,Pax4
Beta cells.Pancreas,Iapp
Beta cells.Pancreas,Pcsk2
Beta cells.Pancreas,G6pc2
Beta cells.Pancreas,Slc30a8
Beta cells.Pancreas,Ero1lb
Beta cells.Pancreas,Pcsk1
Beta cells.Pancreas,Gjd2
Beta cells.Pancreas,Scgn
Beta cells.Pancreas,Igf2
Beta cells.Pancreas,Syt13
Beta cells.Pancreas,Ffar2
Beta cells.Pancreas,Nptx2
Beta cells.Pancreas,Pfkfb2
Beta cells.Pancreas,Edaradd
Beta cells.Pancreas,Hopx
Beta cells.Pancreas,Sh3gl2
Beta cells.Pancreas,Adcyap1
Beta cells.Pancreas,Casr
Beta cells.Pancreas,Mafb
Beta cells.Pancreas,Pax6
Beta cells.Pancreas,Neurod1
Beta cells.Pancreas,Isl1
Beta cells.Pancreas,Tgfbr3
Beta cells.Pancreas,Smad9
Beta cells.Pancreas,Six3
Beta cells.Pancreas,Six2
Beta cells.Pancreas,Bmp5
Beta cells.Pancreas,Pir
Beta cells.Pancreas,Stxbp5
Beta cells.Pancreas,Dlk1
Beta cells.Pancreas,Meg3
Beta cells.Pancreas,Rgs16
